Num_Steps,Median_Error,Median_CEP,Median_X,Median_Y,MAD_X,MAD_Y,Mean_X,Mean_Y,Std_X,Std_Y,Distance_Moved
38,5.563129816983271,0.8968419863388203,346.07,350.84,0.5,0.74,345.84,350.36,0.92,1.52,6702.991304036584
112,7.755273656169398,0.7947153095795217,355.48,353.88,0.56,0.56,354.04,351.58,5.22,9.97,6807.740294064098
95,6.019309171042921,1.6415546455909942,345.74,346.51,1.41,0.83,345.14,346.92,2.65,2.08,16238.463959489678
15,16.430716745214454,1.8965546826532804,361.62,351.25,1.52,1.13,358.74,351.64,31.94,4.97,7362.913750874877
26,4.601663503450974,0.552693332164316,353.25,351.6,0.27,0.48,353.33,351.63,0.85,0.63,8449.335541691105
27,1.740635042737969,1.0667143743372915,351.23,343.17,0.89,0.59,351.12,342.08,1.22,2.66,7801.144855262018
8,17.591444049002433,1.9306316770831737,362.44,373.12,1.22,1.5,361.82,374.0,12.48,13.98,4154.271531315482
67,67.82540280973251,0.8133813833717032,397.96,310.53,0.12,0.8,397.52,310.81,2.6,1.77,9518.78802273652
109,20.752476537127453,1.5187533038804866,364.67,345.56,1.43,0.52,366.32,346.1,4.17,1.79,7679.827251285087
97,7.579605386846948,0.9102568946297263,355.36,358.56,0.61,0.68,354.66,358.42,6.02,2.26,5781.405385387435
28,3.220283040095515,1.9132701565477543,352.28,350.73,1.09,1.57,352.77,350.86,5.67,4.37,7586.359971798254
71,5.884693756834368,1.6741649990219705,345.84,348.96,0.78,1.48,345.33,349.09,1.17,1.62,8147.440788641743
20,4.113988357732129,1.3946303332087686,347.09,350.69,1.14,0.8,344.95,351.78,6.07,8.21,5536.16741810618
60,3.0154813571114136,1.233639330881899,352.13,352.21,0.56,1.1,351.42,352.58,3.07,1.51,7649.6668291971255
84,15.765272360245351,1.6205270567643613,338.85,370.34,1.43,0.77,338.24,377.21,9.75,15.55,15865.986019836431
426,10.749991493431516,1.9123402022732394,342.4,347.97,1.76,0.75,338.84,350.54,11.51,8.19,7645.130614113894
25,17.662297103089905,1.3619460793901057,337.51,349.88,0.26,1.34,336.21,350.44,5.27,2.38,7112.020237860904
73,10.457701490809656,1.942920890340125,342.61,359.1,1.67,1.0,341.48,358.68,5.89,2.83,4837.829315687631
183,12.830126879164602,1.7424750378269416,359.07,339.67,0.45,1.68,356.57,341.31,5.75,11.73,18468.88564898786
76,45.75276952470285,1.6737020807005454,382.35,341.0,1.59,0.52,360.69,336.8,91.3,13.57,5932.23356523309
170,6.8208717979397235,1.9209281841987715,345.18,344.95,1.3,1.42,344.41,344.9,7.89,3.6,6695.601658832195
115,5.4576301622002,1.2883438204868507,353.86,347.07,0.73,1.06,352.3,347.2,5.66,6.26,10064.109551195561
111,25.828553533082793,1.1180879519759443,331.74,331.22,0.76,0.82,331.82,336.0,2.81,24.86,15746.584682277991
328,8.969492733340942,1.423729415125372,356.34,345.7,0.98,1.04,346.06,346.27,52.81,33.64,5188.72619238041
56,28.614031736048055,1.3015751924516248,370.23,366.05,1.2,0.51,372.91,365.41,12.57,3.77,11391.595030221468
63,3.6735539706735296,1.6990916723872347,352.6,344.21,0.91,1.44,326.46,338.54,99.75,46.57,6772.465012433341
164,2.775952848249751,0.3519656638895697,348.04,357.65,0.26,0.24,347.74,356.67,3.79,5.44,9045.852075323359
216,19.05189064631049,1.959378834044577,363.47,340.07,1.8,0.78,344.35,335.92,71.36,15.49,6970.19081840086
29,1.9183603308337176,1.7484029698198804,351.36,356.74,1.0,1.43,361.94,355.62,41.65,26.27,8348.415760197642
59,57.66769094571566,1.0637212620910352,390.78,388.36,0.9,0.57,393.29,390.89,10.38,9.48,6018.485467150139
48,2.45137448719508,1.3120024115683262,351.73,350.21,1.02,0.82,373.45,350.45,48.32,81.31,8272.812562520494
6,51.54369726494897,1.4333553213721284,386.45,368.67,1.25,0.71,387.06,368.36,3.48,5.03,3163.4142190121424
70,4.0528456957413415,1.5018331553675943,347.13,347.07,1.18,0.93,346.27,347.62,4.27,2.46,8495.516782451907
113,3.946080095754741,0.8169400622639978,347.21,355.86,0.31,0.76,347.36,355.96,7.81,1.31,6787.035156175592
111,17.19892162501019,1.241768903106709,362.16,338.48,0.98,0.76,373.7,345.38,44.46,10.63,10166.768528717555
