film name,year,genre,rating,sentiment
Guardians of the Galaxy,2014,Comedy ,5,-0.055558201
Guardians of the Galaxy,2014,Comedy ,7,0.779581729
Guardians of the Galaxy,2014,Comedy ,10,0.6389395226120785
Guardians of the Galaxy,2014,Comedy ,9,0.7725906255628594
Guardians of the Galaxy,2014,Comedy ,7,-0.425314598
Guardians of the Galaxy,2014,Comedy ,9,0.8026207103490935
Guardians of the Galaxy,2014,Comedy ,10,0.076107087
Guardians of the Galaxy,2014,Comedy ,9,0.8131280345808354
Guardians of the Galaxy,2014,Comedy ,8,1.9167514133159982
Guardians of the Galaxy,2014,Comedy ,8,0.9830351211333821
Guardians of the Galaxy,2014,Comedy ,8,0.019752021566686498
Guardians of the Galaxy,2014,Comedy ,8,-0.204089555
Guardians of the Galaxy,2014,Comedy ,9,0.870182702
Guardians of the Galaxy,2014,Comedy ,9,0.3462103963599793
Guardians of the Galaxy,2014,Comedy ,7,0.8469897736009778
Guardians of the Galaxy,2014,Comedy ,7,0.14813250565535738
Guardians of the Galaxy,2014,Comedy ,8,0.4030324709455341
Guardians of the Galaxy,2014,Comedy ,8,-0.275946042
Guardians of the Galaxy,2014,Comedy ,7,0.44500702959210126
Guardians of the Galaxy,2014,Comedy ,Null,0.8705401291582603
Guardians of the Galaxy,2014,Comedy ,9,0.21216250316958843
Guardians of the Galaxy,2014,Comedy ,8,0.5418376020921642
Guardians of the Galaxy,2014,Comedy ,7,0.3560584391488369
Guardians of the Galaxy,2014,Comedy ,9,1.1539097027622833
Guardians of the Galaxy,2014,Comedy ,10,1.3598092752647704
Guardians of the Galaxy,2014,Comedy ,9,0.4721236417738072
Guardians of the Galaxy,2014,Comedy ,7,0.3668789857908241
Guardians of the Galaxy,2014,Comedy ,8,-0.280931179
Guardians of the Galaxy,2014,Comedy ,10,0.25299079173624284
Guardians of the Galaxy,2014,Comedy ,8,0.600384325
Guardians of the Galaxy,2014,Comedy ,10,1.9232894075374354
Guardians of the Galaxy,2014,Comedy ,1,-1.044195067
Guardians of the Galaxy,2014,Comedy ,6,-0.199459616
Guardians of the Galaxy,2014,Comedy ,9,0.19450841894286405
Guardians of the Galaxy,2014,Comedy ,2,0.011533999375216802
Guardians of the Galaxy,2014,Comedy ,Null,0.25211155694020937
Guardians of the Galaxy,2014,Comedy ,7,0.21080831848143317
Guardians of the Galaxy,2014,Comedy ,10,0.1376115853627754
Guardians of the Galaxy,2014,Comedy ,10,0.7060771913827079
Guardians of the Galaxy,2014,Comedy ,7,0.8104645693028039
Guardians of the Galaxy,2014,Comedy ,10,0.7774131600020301
Guardians of the Galaxy,2014,Comedy ,10,0.090503948
Guardians of the Galaxy,2014,Comedy ,10,0.082013657
Guardians of the Galaxy,2014,Comedy ,10,0.10974978932243894
Guardians of the Galaxy,2014,Comedy ,4,-0.378668783
Guardians of the Galaxy,2014,Comedy ,5,-0.368867284
Guardians of the Galaxy,2014,Comedy ,5,-0.164927103
Guardians of the Galaxy,2014,Comedy ,10,0.076928949
Guardians of the Galaxy,2014,Comedy ,6,-0.316833067
Guardians of the Galaxy,2014,Comedy ,6,-0.101768881
Guardians of the Galaxy,2014,Comedy ,10,1.546542916229681
Guardians of the Galaxy,2014,Comedy ,8,0.3672747267335685
Guardians of the Galaxy,2014,Comedy ,8,1.6251915161336579
Guardians of the Galaxy,2014,Comedy ,1,-0.495430511
Guardians of the Galaxy,2014,Comedy ,10,0.5921285788584162
Guardians of the Galaxy,2014,Comedy ,10,0.8074068670531792
Guardians of the Galaxy,2014,Comedy ,1,-0.246475214
Guardians of the Galaxy,2014,Comedy ,Null,1.1925845960997896
Guardians of the Galaxy,2014,Comedy ,Null,0.015487286321765627
Guardians of the Galaxy,2014,Comedy ,1,-0.338020582
Guardians of the Galaxy,2014,Comedy ,1,-0.110239231
Guardians of the Galaxy,2014,Comedy ,1,0.37796040323555147
Guardians of the Galaxy,2014,Comedy ,1,-0.149745437
